period_id,n_pooled,avg_trip_distance,avg_fare_amount,avg_trip_time_in_secs,total_passengers,n_shared_rides,pickup_time
0_00_,118,1.3570892255892255,7.008080808080808,402.7213804713804,434,244,Monday 00:00
0_01_,37,1.4792142857142856,7.3863095238095235,416.9142857142857,145,79,Monday 00:30
0_02_,24,1.2843333333333333,6.697916666666667,360.56666666666666,91,49,Monday 01:00
0_03_,15,1.06484375,6.059895833333333,320.203125,62,30,Monday 01:30
0_04_,8,1.494375,7.53125,431.1875,24,16,Monday 02:00
0_05_,9,1.2355092592592594,6.703703703703703,372.9768518518519,38,19,Monday 02:30
0_06_,5,1.0463333333333333,7.8166666666666655,314.9,18,11,Monday 03:00
0_07_,7,1.1757142857142857,6.345238095238096,341.2857142857143,40,15,Monday 03:30
0_08_,5,1.8679999999999999,8.766666666666667,518.1666666666667,15,11,Monday 04:00
0_09_,3,1.165,6.333333333333333,303.8333333333333,12,6,Monday 04:30
0_10_,4,1.7844444444444445,8.166666666666666,427.1944444444445,15,9,Monday 05:00
0_11_,26,1.042875,5.921875,303.45,75,52,Monday 05:30
0_12_,80,1.393843224789916,7.168181508714597,379.573563453159,278,183,Monday 06:00
0_13_,201,1.6150756635091315,7.687984831029186,438.59168586789554,661,439,Monday 06:30
0_14_,332,1.747268069659999,8.348087928038716,513.2655970363844,1138,721,Monday 07:00
0_15_,456,1.5787410493682976,8.294802621106578,554.7152008696073,1606,1019,Monday 07:30
0_16_,462,1.6523338796871405,9.028316090193355,634.8204855028225,1710,1016,Monday 08:00
0_17_,412,1.774429517410813,9.760684859544348,724.6478139054781,1371,896,Monday 08:30
0_18_,330,1.531213226479828,8.935630322007276,650.8975890790343,1148,696,Monday 09:00
0_19_,343,1.4456156268973892,8.618847037904414,628.2014100312256,1213,736,Monday 09:30
0_20_,288,1.6085507601234972,8.990550897258872,640.5996644937916,996,622,Monday 10:00
0_21_,283,1.5553624857914181,8.670943094629157,606.1626768968457,964,615,Monday 10:30
0_22_,268,1.6301391171512853,8.930412452591655,623.1624824413542,965,557,Monday 11:00
0_23_,301,1.435320054945055,8.246186914936915,573.6328042328042,1105,644,Monday 11:30
0_24_,303,1.3968045551553954,8.253052887821795,580.9202314259037,1064,645,Monday 12:00
0_25_,298,1.482234560490863,8.440573451602864,585.1993291761148,1050,634,Monday 12:30
0_26_,270,1.5193183106575963,8.436549567743764,579.5901342828798,977,575,Monday 13:00
0_27_,298,1.4161389214155609,8.139367030965392,546.1583008066615,1063,638,Monday 13:30
0_28_,312,1.4206439488350646,8.088676736868885,552.9446948330212,1144,672,Monday 14:00
0_29_,383,1.4318184032017365,8.206682553006958,566.235268018651,1374,843,Monday 14:30
0_30_,356,1.4472563644688643,8.31333028083028,567.287204924705,1298,756,Monday 15:00
0_31_,325,1.4738777993659884,8.224903208121713,563.2389863198919,1189,696,Monday 15:30
0_32_,300,1.491012577347323,8.239595103578155,557.5963579499596,1123,645,Monday 16:00
0_33_,284,1.469783919123205,8.005133219954649,526.8965910808768,1026,608,Monday 16:30
0_34_,420,1.602396013909601,8.536626824262694,587.3305711297559,1448,891,Monday 17:00
0_35_,518,1.5147272297808012,8.29496586829176,576.0959028171453,1889,1102,Monday 17:30
0_36_,438,1.4734957407941565,8.158242284254609,561.907719976294,1545,928,Monday 18:00
0_37_,456,1.6118999072182465,8.54291224472615,588.9028057674576,1621,966,Monday 18:30
0_38_,523,1.5528450896496997,8.082785599389098,522.3719781832888,1916,1127,Monday 19:00
0_39_,460,1.5102319143253398,7.807608687848791,488.42970738253024,1717,992,Monday 19:30
0_40_,439,1.5538965808346794,7.735710062365899,468.7471983946961,1559,936,Monday 20:00
0_41_,345,1.5953164510675852,7.807549297366108,471.18591345952393,1237,728,Monday 20:30
0_42_,368,1.6854230989839396,8.278428978428979,518.0973704802244,1309,779,Monday 21:00
0_43_,370,1.7357359473859473,8.357499828214113,516.5382847179276,1329,788,Monday 21:30
0_44_,276,1.6813656878306877,8.145301256613756,495.6153095238096,1020,573,Monday 22:00
0_45_,236,1.5628164911729268,7.716582521347373,455.90250929854886,857,498,Monday 22:30
0_46_,195,1.6428104938271606,8.00298721340388,481.39198853615517,710,411,Monday 23:00
0_47_,133,1.5556425161210317,7.695768229166667,451.4652374751984,443,278,Monday 23:30
1_00_,93,1.6364762626262626,7.863484848484848,457.82464646464643,324,193,Tuesday 00:00
1_01_,52,1.8348809523809524,8.529936974789917,513.8483893557423,183,105,Tuesday 00:30
1_02_,41,1.6804166666666664,7.901785714285714,449.02083333333337,154,86,Tuesday 01:00
1_03_,20,1.484765625,7.25,397.59375,74,40,Tuesday 01:30
1_04_,13,1.365151515151515,6.916666666666666,384.40909090909093,43,26,Tuesday 02:00
1_05_,10,1.4845000000000002,7.35,408.4,26,20,Tuesday 02:30
1_06_,6,1.705,8.166666666666666,479.25,14,12,Tuesday 03:00
1_07_,2,1.045,5.75,253.5,11,4,Tuesday 03:30
1_08_,6,1.7433333333333334,8.375,453.75,31,12,Tuesday 04:00
1_10_,3,1.3766666666666667,7.083333333333333,387.6666666666667,14,6,Tuesday 05:00
1_11_,18,1.0755654761904763,6.022321428571429,299.7976190476191,46,37,Tuesday 05:30
1_12_,56,1.385885885885886,7.036974474474474,383.9515765765766,172,121,Tuesday 06:00
1_13_,183,1.5041577926042211,7.380335884353741,416.8086091487877,623,392,Tuesday 06:30
1_14_,299,1.7748179953448964,8.472070297787658,519.1650636281196,1067,673,Tuesday 07:00
1_15_,465,1.74055025110356,8.844304928312281,589.8509615232961,1683,1018,Tuesday 07:30
1_16_,450,1.7397768261049513,9.417268917268917,675.033916557354,1602,983,Tuesday 08:00
1_17_,382,1.6324296940833032,9.175757814336158,656.0631984033832,1288,830,Tuesday 08:30
1_18_,336,1.5940987075745288,9.088083158224581,651.3738407493425,1185,722,Tuesday 09:00
1_19_,326,1.790539461635758,9.962950492580122,740.9523169080577,1161,696,Tuesday 09:30
1_20_,296,1.6206090785907858,9.2909891598916,678.7952800361336,1057,641,Tuesday 10:00
1_21_,303,1.5997973333333335,9.251624338624339,677.6634888888889,1045,645,Tuesday 10:30
1_22_,266,1.6669879794973543,9.595267030423281,712.461832010582,952,561,Tuesday 11:00
1_23_,276,1.5405119242761787,9.10829338181312,671.8575447984439,980,586,Tuesday 11:30
1_24_,259,1.6137956408789742,9.352324050240718,693.2847198388865,924,551,Tuesday 12:00
1_25_,267,1.4731961295146077,8.573036289394985,611.7969691741431,951,569,Tuesday 12:30
1_26_,267,1.4555624047170657,8.64937673751233,619.4775760021523,934,568,Tuesday 13:00
1_27_,275,1.4831132876382878,8.656972402597402,622.003204064454,1026,596,Tuesday 13:30
1_28_,271,1.702016445016445,9.595526776776778,697.7504111254111,990,571,Tuesday 14:00
1_29_,320,1.5015920858934972,8.79129864311316,641.1001600102406,1173,682,Tuesday 14:30
1_30_,288,1.4628598750975799,8.690555880822275,623.945078714546,1115,608,Tuesday 15:00
1_31_,265,1.5791518440709615,9.041999299719889,652.8766456582633,972,553,Tuesday 15:30
1_32_,220,1.5296311007268952,8.579853693813975,599.463948227266,797,459,Tuesday 16:00
1_33_,207,1.6258671553497943,9.078395061728395,645.2098251028807,697,430,Tuesday 16:30
1_34_,264,1.6404532222222221,8.994169444444443,638.5418166666667,889,560,Tuesday 17:00
1_35_,322,1.5789136632767586,8.672411830893974,598.8168811127146,1195,675,Tuesday 17:30
1_36_,390,1.6205841209257241,9.068108945232037,649.9934978189749,1423,834,Tuesday 18:00
1_37_,452,1.5617386270198772,8.538997926497926,587.1182244744745,1631,960,Tuesday 18:30
1_38_,499,1.562192965060751,8.351416038925112,558.4680721053497,1762,1066,Tuesday 19:00
1_39_,511,1.6064627123601338,8.30536830551847,543.8414255125742,1804,1088,Tuesday 19:30
1_40_,442,1.6552126451880662,8.377927480214897,544.9544153013644,1610,952,Tuesday 20:00
1_41_,446,1.7187358628405145,8.398052616508412,535.5802108882882,1539,928,Tuesday 20:30
1_42_,463,1.7187733555307236,8.331081448192728,522.9256371545498,1644,993,Tuesday 21:00
1_43_,436,1.7129729317386426,8.396916585778996,529.543370681606,1588,917,Tuesday 21:30
1_44_,414,1.7971677841076832,8.591213851443372,532.8877682929127,1487,881,Tuesday 22:00
1_45_,330,1.807773138921035,8.548572178646436,529.0792074743189,1226,694,Tuesday 22:30
1_46_,308,1.737125914297343,8.345529681958254,513.003452671667,1141,649,Tuesday 23:00
1_47_,219,1.7220584839996604,8.28292823189882,498.8790841184959,750,465,Tuesday 23:30
2_00_,158,1.7285759595959596,8.22957239057239,495.54304040404037,609,330,Wednesday 00:00
2_01_,93,1.619266975308642,7.952623456790123,475.8631172839506,328,195,Wednesday 00:30
2_02_,55,1.6323873873873873,7.952863577863579,467.8790218790219,191,114,Wednesday 01:00
2_03_,30,1.4590025252525252,7.294823232323233,409.4621212121212,103,63,Wednesday 01:30
2_04_,30,1.1002222222222222,6.132936507936508,328.73253968253965,106,61,Wednesday 02:00
2_05_,12,1.5805555555555557,7.488888888888889,406.1833333333333,37,26,Wednesday 02:30
2_06_,16,1.4844318181818181,7.630681818181818,448.5568181818182,46,32,Wednesday 03:00
2_07_,12,1.4897619047619046,7.434523809523809,422.4702380952381,39,25,Wednesday 03:30
2_08_,6,1.0827777777777776,6.138888888888889,323.38888888888886,19,13,Wednesday 04:00
2_10_,4,0.785,5.125,234.375,14,8,Wednesday 05:00
2_11_,31,1.136851851851852,6.164699074074075,308.77152777777775,88,66,Wednesday 05:30
2_12_,62,1.3380027006172839,6.844425154320987,369.5391589506173,213,132,Wednesday 06:00
2_13_,185,1.5429578114666007,7.5944671792328045,434.995124937996,620,404,Wednesday 06:30
2_14_,324,1.7424996704354296,8.540956889719203,536.2907546017727,1107,705,Wednesday 07:00
2_15_,482,1.722668019640979,8.863814627360547,589.2894745453589,1743,1064,Wednesday 07:30
2_16_,458,1.660639978226139,9.114320565347352,642.9418883348794,1721,996,Wednesday 08:00
2_17_,381,1.6908174953401403,9.501944920015571,691.2781654972779,1320,844,Wednesday 08:30
2_18_,335,1.689949358974359,9.412071123321123,679.0794291819292,1109,712,Wednesday 09:00
2_19_,287,1.62580072095413,9.162106590799771,654.1925483186847,950,616,Wednesday 09:30
2_20_,254,1.6535360392720306,9.446994731800766,677.3388444170771,890,528,Wednesday 10:00
2_21_,277,1.6643310755336618,9.434160052910052,687.2209587666484,986,589,Wednesday 10:30
2_22_,254,1.6544657157157157,9.65822072072072,728.3950450450451,880,536,Wednesday 11:00
2_23_,230,1.7435204613095239,9.88463275935374,732.8035767431973,776,493,Wednesday 11:30
2_24_,229,1.6915671442618345,9.704103455541508,719.7143243433067,780,474,Wednesday 12:00
2_25_,225,1.4174477682811017,8.563188509021842,618.2243352326686,763,467,Wednesday 12:30
2_26_,216,1.4923388364779875,8.857239255765199,641.7831892033543,754,459,Wednesday 13:00
2_27_,236,1.537794191919192,9.14688151354818,675.3460718294052,866,505,Wednesday 13:30
2_28_,249,1.5069146312260535,8.87063577586207,637.0078424329502,853,524,Wednesday 14:00
2_29_,301,1.5450601718197057,9.170452158481819,680.117641980195,1045,634,Wednesday 14:30
2_30_,297,1.5598649645808735,9.0971287550833,667.9654761904761,1126,622,Wednesday 15:00
2_31_,241,1.7039202123750736,9.603602660199883,705.8566238609642,886,507,Wednesday 15:30
2_32_,180,1.4652266609392899,8.540893470790378,607.4211912943872,638,382,Wednesday 16:00
2_33_,152,1.6608527777777777,8.992708333333333,625.9983333333333,508,316,Wednesday 16:30
2_34_,238,1.6915746233521656,9.17962570621469,661.1063559322034,840,501,Wednesday 17:00
2_35_,306,1.5704523340832395,8.762261748531435,617.0953568303962,1074,647,Wednesday 17:30
2_36_,356,1.7056966979867745,9.361433262101201,675.7152200852582,1303,753,Wednesday 18:00
2_37_,433,1.6275484307359307,8.908048861632194,624.9928580246914,1595,921,Wednesday 18:30
2_38_,483,1.568003635847386,8.587625434500435,593.5964497120748,1739,1029,Wednesday 19:00
2_39_,541,1.5246323030601876,8.25098291131945,555.0069106463337,1922,1161,Wednesday 19:30
2_40_,526,1.614475475524178,8.385428910335252,554.043059504559,1982,1120,Wednesday 20:00
2_41_,456,1.67815456333026,8.3322768450201,532.5289285282264,1623,962,Wednesday 20:30
2_42_,493,1.6309576007326008,8.22313263125763,514.2615852665853,1826,1054,Wednesday 21:00
2_43_,501,1.7151313556955587,8.438447498311792,536.0306448476513,1806,1064,Wednesday 21:30
2_44_,439,1.7580644566261734,8.466256305596845,528.9747283145936,1569,914,Wednesday 22:00
2_45_,371,1.8713800386316142,8.793898840069732,549.7029477764543,1316,776,Wednesday 22:30
2_46_,297,1.8664478540607181,8.770615657266143,541.5001271382339,1046,620,Wednesday 23:00
2_47_,229,1.796061312223302,8.58671343537415,529.5474044379656,847,485,Wednesday 23:30
3_00_,159,1.5251577533577532,7.652077737077738,453.5993793243793,581,334,Thursday 00:00
3_01_,103,1.6914824074074073,8.218287037037037,497.91675925925927,375,214,Thursday 00:30
3_02_,54,1.4034549549549549,8.139301801801803,416.6355855855856,197,111,Thursday 01:00
3_03_,37,1.3570114942528735,7.007902298850574,387.5632183908046,124,74,Thursday 01:30
3_04_,25,1.5355925925925926,7.580555555555555,429.27037037037036,79,51,Thursday 02:00
3_05_,17,1.3363461538461539,6.894230769230769,375.01282051282055,84,36,Thursday 02:30
3_06_,10,1.27125,6.828125,382.28125,32,20,Thursday 03:00
3_07_,12,1.5463636363636366,7.886363636363637,441.3636363636364,40,26,Thursday 03:30
3_08_,8,1.649375,7.875,442.8125,39,16,Thursday 04:00
3_09_,1,0.655,5.0,240.0,3,2,Thursday 04:30
3_10_,3,2.006666666666667,8.666666666666666,453.1666666666667,11,6,Thursday 05:00
3_11_,16,1.1675,6.201388888888889,304.63194444444446,46,35,Thursday 05:30
3_12_,54,1.4412233560090701,7.038321995464853,382.52052154195013,182,114,Thursday 06:00
3_13_,170,1.5910868863049095,7.551604220499569,422.36456718346255,519,377,Thursday 06:30
3_14_,301,1.7311605282738096,8.290200531167327,507.006401048556,1088,650,Thursday 07:00
3_15_,408,1.8612731525110462,9.305563940612666,624.0996463420527,1544,907,Thursday 07:30
3_16_,443,1.735236196093243,9.49455300649512,684.4390830726569,1498,969,Thursday 08:00
3_17_,373,1.671731115720699,9.483079555475388,690.6349346641014,1256,799,Thursday 08:30
3_18_,275,1.6994174540186444,9.65689169186193,703.7846986016629,973,572,Thursday 09:00
3_19_,321,1.6305395310796074,9.338155064824912,682.8532503332123,1109,676,Thursday 09:30
3_20_,270,1.6674453725038403,9.390416186635944,682.86327124936,989,567,Thursday 10:00
3_21_,278,1.5309859635314182,8.9028663255936,648.961137347501,1004,599,Thursday 10:30
3_22_,273,1.467296155347385,8.625396825396825,609.613576632839,986,573,Thursday 11:00
3_23_,289,1.6300795819590463,9.150873692279943,655.5412809536693,1094,619,Thursday 11:30
3_24_,266,1.5237822465322466,8.702923459173459,609.2329972829973,952,563,Thursday 12:00
